manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MUV63FE/A,0013025353,45 N 運動錶帶 沙漠石 S/M MUV63,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV73FE/A,0013025354,45 N 運動錶帶 沙漠石 M/L MUV73,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV83FE/A,0013025355,45 N 運動錶帶 焰藍色 S/M MUV83,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUV93FE/A,0013025356,45 N 運動錶帶 焰藍色 M/L MUV93,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVC3FE/A,0013025357,45 N 運動錶帶 軍卡其 S/M S/M MUVC3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVD3FE/A,0013025358,45 N 運動錶帶 軍卡其 S/M M/L MUVD3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVE3FE/A,0013025359,45 N 運動錶帶 橙粉色 S/M MUVE3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
MUVF3FE/A,0013025360,45 N 運動錶帶 橙粉色 M/L MUVF3,Accy,*Apple Watch Accy,Band 45mm Nike Sport,1600
SJXC2TA/A,0013025361,AC+ for AW S9 SJXC2,Care,ACPP+,AW S9 ACPP+,2590
SJXD2TA/A,0013025362,AC+ for AW Ultra 2 SJXD2,Care,ACPP+,AW Ultra ACPP+,3190
SJXE2TA/A,0013025363,AC+ for AW Herm_s S9 SJXE2,Care,ACPP+,AW Hermes S9 ACPP+,4790
SJY32TA/A,0013025364,AC+ for AW S9 不鏽鋼 SJY32,Care,ACPP+,AW S9 不鏽鋼 ACPP+,2590
SJRQ2TA/A,0013025365,AC+ for iPhone 15 SJRQ2,Care,ACPP+,iPhone 15 ACPP+,4890
SJT42TA/A,0013025366,AC+ for iPhone 15 Plus SJT42,Care,ACPP+,iPhone 15 Plus ACPP+,5790
SJT92TA/A,0013025367,AC+ for iPhone 15 Pro SJT92,Care,ACPP+,iPhone 15 Pro ACPP+,6390
SJTJ2TA/A,0013025368,AC+ for iPhone 15 PM SJTJ2,Care,ACPP+,iPhone 15 PM ACPP+,6390
MUWA3TA/A,0013025609,Apple Pencil USB-C MUWA3,Accy,*iPad Accy,Apple Pencil,2690
MT0H3TA/A,0013025673,AW USB-C 磁性快充線 1m MT0H3,Accy,#Cable,Apple Watch,990
SL9K2TA/A,0013025704,AC+ for MBP 14 M3 SL9K2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SL9L2TA/A,0013025705,AC+ for MBP 14 M3P/M3M SL9L2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SL9M2TA/A,0013025706,AC+ for MBP 16 M3 SL9M2,Care,ACPP+,16 MacBook Pro ACPP+,12990
SLA62TA/A,0013025707,AC+ for iMac M3 SLA62,Care,ACPP+,iMac ACPP+,5290
MUQ93FE/A,0013026024,USB-C to Lightning 1m MUQ93,Accy,#Cable,USB-C to Lightning,590
MUQW3FE/A,0013026025,Lightning to USB 1m MUQW3,Accy,#Cable,Lightning,590
MW2K3TA/A,0013026043,35W 雙 USB-C 充電器 MW2K3,Accy,#Power Adapter,USB-C,1790
MWN93FE/A,0013026060,iPhone 15 矽膠殼  粉紅色 MWN93,Accy,iPhone Case,iPhone 15,1590
MWNA3FE/A,0013026061,iPhone 15 矽膠殼 日照色 MWNA3,Accy,iPhone Case,iPhone 15,1590
MWNC3FE/A,0013026062,iPhone 15 矽膠殼 淡薄荷 MWNC3,Accy,iPhone Case,iPhone 15,1590
MWND3FE/A,0013026063,iPhone 15 矽膠殼 淡藍色 MWND3,Accy,iPhone Case,iPhone 15,1590
MWNE3FE/A,0013026064,iPhone 15+ 矽膠殼 粉紅色 MWNE3,Accy,iPhone Case,iPhone 15+,1590
MWNF3FE/A,0013026065,iPhone 15+ 矽膠殼 日照色 MWNF3,Accy,iPhone Case,iPhone 15+,1590
MWNG3FE/A,0013026066,iPhone 15+ 矽膠殼 淡薄荷 MWNG3,Accy,iPhone Case,iPhone 15+,1590
MWNH3FE/A,0013026067,iPhone 15+ 矽膠殼 淡藍色 MWNH3,Accy,iPhone Case,iPhone 15+,1590
MWNJ3FE/A,0013026068,iPhone 15 P 矽膠 粉紅色 MWNJ3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNK3FE/A,0013026069,iPhone 15 P 矽膠 日照色 MWNK3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNL3FE/A,0013026070,iPhone 15 P 矽膠 淡薄荷 MWNL3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNM3FE/A,0013026071,iPhone 15 P 矽膠 淡藍色 MWNM3,Accy,iPhone Case,iPhone 15 Pro,1590
MWNN3FE/A,0013026072,iPhone 15 PM 矽膠 粉紅色 MWNN3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNP3FE/A,0013026073,iPhone 15 PM 矽膠 日照色 MWNP3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNQ3FE/A,0013026074,iPhone 15 PM 矽膠 淡薄荷 MWNQ3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWNR3FE/A,0013026075,iPhone 15 PM 矽膠 淡藍色 MWNR3,Accy,iPhone Case,iPhone 15 Pro Max,1590
MWVV3TA/A,0013026076,20W USB-C Adapter MWVV3,Accy,#Power Adapter,USB-C,590
SLPJ2TA/A,0013026077,AC+ for MBA 13 M3 SLPJ2,Care,ACPP+,13 MacBook Air ACPP+,6290
SLPL2TA/A,0013026078,AC+ for MBA 15 M3 SLPL2,Care,ACPP+,15 MacBook Air ACPP+,7290
MUW23ZP/A,0013026183,Beats Solo4 WL 黑 MUW23,Audio,Beats,Solo 4,7490
MUW33ZP/A,0013026184,Beats Solo4 WL 粉 MUW33,Audio,Beats,Solo 4,7490
MUW43ZP/A,0013026185,Beats Solo4 WL 藍 MUW43,Audio,Beats,Solo 4,7490
MW693FE/A,0013026217,擦拭布 MW693,Accy,*CPU Accy,Other,590
MW2H3TA/A,0013026218,35W 雙 USB-C 小型充電器 MW2H3,Accy,#Power Adapter,USB-C,1790
MW2L3TA/A,0013026219,96W USB-C Power Adapter MW2L3,Accy,#Power Adapter,USB-C,2290
MW2M3TA/A,0013026220,140W USB-C Adapter MW2M3,Accy,#Power Adapter,USB-C,2990
MW5J3FE/A,0013026221,Thunderbolt 4 Pro 1.8m MW5J3,Accy,#Cable,Thunderbolt,3990
MWML3FE/A,0013026222,USB-C to Pencil 轉接器 MWML3,Accy,#Connector,USB-C,290
MUVW3TA/A,0013026360,Beats Solo Buds 黑 MUVW3,Audio,Beats,Solo Buds,2790
MUVX3TA/A,0013026361,Beats Solo Buds 紫 MUVX3,Audio,Beats,Solo Buds,2790
MUVY3TA/A,0013026362,Beats Solo Buds 灰 MUVY3,Audio,Beats,Solo Buds,2790
MUW03TA/A,0013026363,Beats Solo Buds 紅 MUW03,Audio,Beats,Solo Buds,2790
MX2D3TA/A,0013026364,Apple Pencil Pro MX2D3,Accy,*iPad Accy,Apple Pencil Pro,4390
MWR03TA/A,0013026365,Pro 11 M4 巧控鍵盤 白 MWR03,Accy,*iPad Accy,11 5th Keyboard,9890
MWR23TA/A,0013026366,Pro 11 M4 巧控鍵盤 黑 MWR23,Accy,*iPad Accy,11 5th Keyboard,9890
MWR43TA/A,0013026367,Pro 13 M4 巧控鍵盤 白 MWR43,Accy,*iPad Accy,12.9 7th Keyboard,11690
MWR53TA/A,0013026368,Pro 13 M4 巧控鍵盤 黑 MWR53,Accy,*iPad Accy,12.9 7th Keyboard,11690
SM2A2TA/A,0013026384,AC+ for iPad Air 13 1 SM2A2,Care,ACPP+,iPad Air 13 1th ACPP+,3290
SM2V2TA/A,0013026385,AC+ for iPad Air 11 4 SM2V2,Care,ACPP+,iPad Air 11 4th ACPP+,2590
SM2W2TA/A,0013026386,AC+ for iPad Pro 13 7 SM2W2,Care,ACPP+,iPad Pro 13 7th ACPP+,5590
SM2X2TA/A,0013026387,AC+ for iPad Pro 11 5 SM2X2,Care,ACPP+,iPad Pro 11 5th ACPP+,4890
MW443ZP/A,0013026478,Beats Pill 黑 MW443,Audio,Beats,Pill,5499
MW463ZP/A,0013026479,Beats Pill 金 MW463,Audio,Beats,Pill,5499
MWQW3ZP/A,0013026480,Beats Pill 紅 MWQW3,Audio,Beats,Pill,5499
2.00013E+12,0013026482,[i]Care iPad Air 13 一年_2090,Care,iCPP,[i]Care iPad Air 13 一年期_2090,0
2.00013E+12,0013026483,[i]Care iPad Air 13 兩年_3199,Care,iCPP,[i]Care iPad Air 13 兩年期_3199,0
2.00013E+12,0013026484,[i]Care iPad Pro 11 一年_3190,Care,iCPP,[i]Care iPad Pro 11 5 一年期_3190,0
2.00013E+12,0013026485,[i]Care iPad Pro 11 兩年_4653,Care,iCPP,[i]Care iPad Pro 11 5 兩年期_4653,0
2.00013E+12,0013026486,[i]Care iPad Pro 13 一年_3390,Care,iCPP,[i]Care iPad Pro 13 7 一年期_3390,0
2.00013E+12,0013026487,[i]Care iPad Pro 13 兩年_5445,Care,iCPP,[i]Care iPad Pro 13 7 兩年期_5445,0
MW2P3FE/A,0013026707,Lightning Digital AV MW2P3,Accy,#Connector,Lightning,1490
MW2Q3FE/A,0013026708,USB-C to 3.5mm 孔 轉接器 MW2Q3,Accy,EarPhone,3.5mm,290
MW2R3ZA/A,0013026709,USB-C to Lightning 2m MW2R3,Accy,#Cable,USB-C to Lightning,990
MW5H3FE/A,0013026710,Thunderbolt 4 Pro 3m MW5H3,Accy,#Cable,Thunderbolt,4890
MW5M3FE/A,0013026711,USB-C Digital AV MW5M3,Accy,#Connector,USB-C,2190
MW653TA/A,0013026712,USB-C to SD 讀卡機 MW653,Accy,#Connector,USB-C,1190
MX5J3FE/A,0013026713,Lightning to USB3 Camera MX5J3,Accy,#Connector,Lightning,1290
MWTY3FE/A,0013026714,EarPods For Lightning MWTY3,Accy,EarPhone,Lightning,590
MWU53FE/A,0013026715,EarPods For 3.5mm MWU53,Accy,EarPhone,3.5mm,590
MTJT3TA/A,0013026804,HomePod mini 午夜 MTJT3,Audio,HomePod,HomePod mini 午夜,3000
MW493FE/A,0013026814,USB-C Charge Cable (1m) MW493,Accy,#Cable,USB-C,590
MW5L3FE/A,0013026815,USB-C to USB Adapter MW5L3,Accy,#Connector,USB-C,590
MXN53TA/A,0013026816,70W USB-C Power Adapter MXN53,Accy,#Power Adapter,USB-C,1790
MYH93FE/A,0013026817,USB-C to Thunderbolt 2 MYH93,Accy,#Cable,Thunderbolt,1490
MYQT3FE/A,0013026818,USB-C Charge Cable (2m) MYQT3,Accy,#Cable,USB-C,990
MYQY3ZP/A,0013026819,EarPods for USB-C MYQY3,Accy,EarPhone,USB-C,590
MW5G3TA/A,0013026820,Apple TV Siri 遙控器 MW5G3,Accy,Apple TV,Apple TV Accy,1790
MYE73ZP/A,0013027361,iPhone 16 128GB 黑 MYE73,iPhone,iPhone 16,iPhone 16 黑,25900
MYE93ZP/A,0013027362,iPhone 16 128GB 白 MYE93,iPhone,iPhone 16,iPhone 16 白,25900
MYEA3ZP/A,0013027363,iPhone 16 128GB 粉 MYEA3,iPhone,iPhone 16,iPhone 16 粉,25900
MYEC3ZP/A,0013027364,iPhone 16 128GB 藍 MYEC3,iPhone,iPhone 16,iPhone 16 藍,25900
MYED3ZP/A,0013027365,iPhone 16 128GB 綠 MYED3,iPhone,iPhone 16,iPhone 16 綠,25900
MXVU3ZP/A,0013027376,iPhone 16+ 128GB 黑 MXVU3,iPhone,iPhone 16+,iPhone 16+ 黑,29900
MXVV3ZP/A,0013027377,iPhone 16+ 128GB 白 MXVV3,iPhone,iPhone 16+,iPhone 16+ 白,29900
MXVW3ZP/A,0013027378,iPhone 16+ 128GB 粉 MXVW3,iPhone,iPhone 16+,iPhone 16+ 粉,29900
MXVX3ZP/A,0013027379,iPhone 16+ 128GB 藍 MXVX3,iPhone,iPhone 16+,iPhone 16+ 藍,29900
MXVY3ZP/A,0013027380,iPhone 16+ 128GB 綠 MXVY3,iPhone,iPhone 16+,iPhone 16+ 綠,29900
MXWN3ZP/A,0013027381,iPhone 16+ 256GB 黑 MXWN3,iPhone,iPhone 16+,iPhone 16+ 黑,33400
MXWV3ZP/A,0013027382,iPhone 16+ 256GB 白 MXWV3,iPhone,iPhone 16+,iPhone 16+ 白,33400
MXY13ZP/A,0013027383,iPhone 16+ 256GB 粉 MXY13,iPhone,iPhone 16+,iPhone 16+ 粉,33400
MXY23ZP/A,0013027384,iPhone 16+ 256GB 藍 MXY23,iPhone,iPhone 16+,iPhone 16+ 藍,33400
MXY53ZP/A,0013027385,iPhone 16+ 256GB 綠 MXY53,iPhone,iPhone 16+,iPhone 16+ 綠,33400
MCFC4PA/A,0013027555,Beats iPhone 16 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16,1790
MCFE4PA/A,0013027556,Beats iPhone 16 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16,1790
MCFD4PA/A,0013027557,Beats iPhone 16 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16,1790
MCFF4PA/A,0013027558,Beats iPhone 16 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16,1790
MCFG4PA/A,0013027559,Beats iPhone 16+ 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16+,1790
MCFJ4PA/A,0013027560,Beats iPhone 16+ 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16+,1790
MCFH4PA/A,0013027561,Beats iPhone 16+ 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16+,1790
MCFK4PA/A,0013027562,Beats iPhone 16+ 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16+,1790
MCFL4PA/A,0013027563,Beats iPhone 16P 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16 Pro,1790
MCFN4PA/A,0013027564,Beats iPhone 16P 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16 Pro,1790
MCFM4PA/A,0013027565,Beats iPhone 16P 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16 Pro,1790
MCFP4PA/A,0013027566,Beats iPhone 16P 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16 Pro,1790
MCFQ4PA/A,0013027567,Beats iPhone 16M 磁吸殼 午夜黑,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFT4PA/A,0013027568,Beats iPhone 16M 磁吸殼 波濤藍,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFR4PA/A,0013027569,Beats iPhone 16M 磁吸殼 頂峰石,Accy,iPhone Case,iPhone 16 Pro Max,1790
MCFU4PA/A,0013027570,Beats iPhone 16M 磁吸殼 夕陽紫,Accy,iPhone Case,iPhone 16 Pro Max,1790
MA6A4FE/A,0013027571,iPhone 16 透明殼 MA6A4,Accy,iPhone Case,iPhone 16,1490
MA7D4FE/A,0013027572,iPhone 16+ 透明殼 MA7D4,Accy,iPhone Case,iPhone 16+,1490
MA7E4FE/A,0013027573,iPhone 16 Pro 透明殼 MA7E4,Accy,iPhone Case,iPhone 16 Pro,1490
MA7F4FE/A,0013027574,iPhone 16 PM 透明殼 MA7F4,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYY13FE/A,0013027575,iPhone 16 矽膠殼 黑色 MYY13,Accy,iPhone Case,iPhone 16,1490
MYY53FE/A,0013027577,iPhone 16 矽膠殼 吊鐘 MYY53,Accy,iPhone Case,iPhone 16,1490
MYY83FE/A,0013027578,iPhone 16 矽膠殼 湖綠 MYY83,Accy,iPhone Case,iPhone 16,1490
MYY43FE/A,0013027579,iPhone 16 矽膠殼 梅李 MYY43,Accy,iPhone Case,iPhone 16,1490
MYY73FE/A,0013027580,iPhone 16 矽膠殼 楊桃 MYY73,Accy,iPhone Case,iPhone 16,1590
MYY33FE/A,0013027581,iPhone 16 矽膠殼 灰石 MYY33,Accy,iPhone Case,iPhone 16,1590
MYY63FE/A,0013027582,iPhone 16 矽膠殼 湛藍 MYY63,Accy,iPhone Case,iPhone 16,1490
MYY93FE/A,0013027583,iPhone 16+ 矽膠殼 黑色 MYY93,Accy,iPhone Case,iPhone 16+,1490
MYYA3FE/A,0013027584,iPhone 16+ 矽膠殼 單寧 MYYA3,Accy,iPhone Case,iPhone 16+,1490
MYYE3FE/A,0013027585,iPhone 16+ 矽膠殼 吊鐘 MYYE3,Accy,iPhone Case,iPhone 16+,1490
MYYH3FE/A,0013027586,iPhone 16+ 矽膠殼 湖綠 MYYH3,Accy,iPhone Case,iPhone 16+,1490
MYYD3FE/A,0013027587,iPhone 16+ 矽膠殼 梅李 MYYD3,Accy,iPhone Case,iPhone 16+,1490
MYYG3FE/A,0013027588,iPhone 16+ 矽膠殼 楊桃 MYYG3,Accy,iPhone Case,iPhone 16+,1490
MYYC3FE/A,0013027589,iPhone 16+ 矽膠殼 灰石 MYYC3,Accy,iPhone Case,iPhone 16+,1590
MYYF3FE/A,0013027590,iPhone 16+ 矽膠殼 湛藍 MYYF3,Accy,iPhone Case,iPhone 16+,1490
MYYJ3FE/A,0013027591,iPhone 16P 矽膠殼 黑色 MYYJ3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYK3FE/A,0013027592,iPhone 16P 矽膠殼 單寧 MYYK3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYN3FE/A,0013027593,iPhone 16P 矽膠殼 吊鐘 MYYN3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYM3FE/A,0013027595,iPhone 16P 矽膠殼 梅李 MYYM3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYQ3FE/A,0013027596,iPhone 16P 矽膠殼 楊桃 MYYQ3,Accy,iPhone Case,iPhone 16 Pro,1590
MYYL3FE/A,0013027597,iPhone 16P 矽膠殼 灰石 MYYL3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYT3FE/A,0013027599,iPhone 16PM 矽膠殼 黑色 MYYT3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYU3FE/A,0013027600,iPhone 16PM 矽膠殼 單寧 MYYU3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYX3FE/A,0013027601,iPhone 16PM 矽膠殼 吊鐘 MYYX3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MA7V4FE/A,0013027602,iPhone 16PM 矽膠殼 湖綠 MA7V4,Accy,iPhone Case,iPhone 16 Pro Max,1590
MYYW3FE/A,0013027603,iPhone 16PM 矽膠殼 梅李 MYYW3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MA7U4FE/A,0013027604,iPhone 16PM 矽膠殼 楊桃 MA7U4,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYV3FE/A,0013027605,iPhone 16PM 矽膠殼 灰石 MYYV3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MAX94FE/A,0013027618,40mm 運動錶帶 黑色 S/M MAX94,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXA4FE/A,0013027619,40mm 運動錶帶 黑色 M/L MAXA4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXC4FE/A,0013027620,40mm 運動錶帶 胭脂粉 S/M MAXC4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXD4FE/A,0013027621,40mm 運動錶帶 胭脂粉 M/L MAXD4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXF4FE/A,0013027622,40mm 運動錶帶 灰石色 S/M MAXF4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXG4FE/A,0013027623,40mm 運動錶帶 灰石色 M/L MAXG4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MXLG3FE/A,0013027674,42mm 運動錶帶 石灰色 S/M MXLG3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLH3FE/A,0013027675,42mm 運動錶帶 石灰色 M/L MXLH3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLJ3FE/A,0013027676,42mm 運動錶帶 黑色 S/M MXLJ3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLK3FE/A,0013027677,42mm 運動錶帶 黑色 M/L MXLK3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLL3FE/A,0013027678,42mm 運動錶帶 星光色 S/M MXLL3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLM3FE/A,0013027679,42mm 運動錶帶 星光色 M/L MXLM3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLN3FE/A,0013027680,42mm 運動錶帶 胭脂粉 S/M MXLN3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLP3FE/A,0013027681,42mm 運動錶帶 胭脂粉 M/L MXLP3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLX3FE/A,0013027688,46mm 運動錶帶 石灰色 S/M MXLX3,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXLY3FE/A,0013027689,46mm 運動錶帶 石灰色 M/L MXLY3,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM23FE/A,0013027690,46mm 運動錶帶 黑色 S/M MXM23,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM43FE/A,0013027691,46mm 運動錶帶 黑色 M/L MXM43,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM53FE/A,0013027692,46mm 運動錶帶 黑色 XL MXM53,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM63FE/A,0013027693,46mm 運動錶帶 星光色 S/M MXM63,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM73FE/A,0013027694,46mm 運動錶帶 星光色 M/L MXM73,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM83FE/A,0013027695,46mm 運動錶帶 胭脂粉 S/M MXM83,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM93FE/A,0013027696,46mm 運動錶帶 胭脂粉 M/L MXM93,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXTL3FE/A,0013027714,49mm 原鈦海洋錶帶 黑色 MXTL3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MYG03FE/A,0013027732,46mm 運動錶帶 午夜色 S/M MYG03,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MYG13FE/A,0013027733,46mm 運動錶帶 午夜色 M/L MYG13,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MYJ33FE/A,0013027736,40mm 運動錶帶 星光色 S/M MYJ33,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ43FE/A,0013027737,40mm 運動錶帶 星光色 M/L MYJ43,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ53FE/A,0013027738,40mm 運動錶帶 午夜色 S/M MYJ53,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ63FE/A,0013027739,40mm 運動錶帶 午夜色 M/L MYJ63,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYPD3FE/A,0013027773,49mm 黑鈦海洋錶帶 黑色 MYPD3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
SNHA2TA/A,0013027789,AC+ for iPhone 16 SNHA2,Care,ACPP+,iPhone 16 ACPP+,4890
SNHP2TA/A,0013027790,AC+ for iPhone 16 Plus SNHP2,Care,ACPP+,iPhone 16 Plus ACPP+,5790
SNHV2TA/A,0013027791,AC+ for iPhone 16 Pro SNHV2,Care,ACPP+,iPhone 16 Pro ACPP+,6390
SNJ22TA/A,0013027792,AC+ for iPhone 16 PM SNJ22,Care,ACPP+,iPhone 16 PM ACPP+,6390
SNMF2TA/A,0013027793,AC+ for AW S10 Aluminum SNMF2,Care,ACPP+,AW S10 ACPP+,2590
SNMG2TA/A,0013027794,AC+ for AW Hermes Ultra SNMG2,Care,ACPP+,AW Hermes Ultra ACPP+,4790
SNMH2TA/A,0013027795,AC+ for AW Hermes S10 SNMH2,Care,ACPP+,AW Hermes S10 ACPP+,4790
SNN72TA/A,0013027796,AC+ for AW S10 Titanium SNN72,Care,ACPP+,AW S10 鈦金屬 ACPP+,2590
MXP63TA/A,0013027950,AirPods 第四代 MXP63,AirPods,AirPods 4,AirPods 第四代,4490
MXP93TA/A,0013027951,AirPods 第四代 降噪 MXP93,AirPods,AirPods 4,AirPods 第四代 ANC,5990
MWW43TA/A,0013027952,AirPods Max 午夜 MWW43,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW53TA/A,0013027953,AirPods Max 星光 MWW53,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW63TA/A,0013027954,AirPods Max 藍 MWW63,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW73TA/A,0013027955,AirPods Max 橙 MWW73,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW83TA/A,0013027956,AirPods Max 紫 MWW83,AirPods,AirPods Max (USB-C),AirPods Max,17990
2000130280080,0013028008,[i]Care AirPods 4/4降 兩年_990,Care,iCPP,[i]Care AirPods 4/4降 兩年_990,0
SNGN2TA/A,0013028066,AC+ for iPad mini A17 P SNGN2,Care,ACPP+,iPad/iPad Mini ACPP+,2190
MXN63TA/A,0013028067,iPad mini WF 128G 太空灰 MXN63,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,15900
MXN73TA/A,0013028068,iPad mini WF 128G 藍 MXN73,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,15900
MXN83TA/A,0013028069,iPad mini WF 128G 星光 MXN83,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,15900
MXN93TA/A,0013028070,iPad mini WF 128G 紫 MXN93,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,15900
MXNA3TA/A,0013028071,iPad mini WF 256G 太空灰 MXNA3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,19400
MXNC3TA/A,0013028072,iPad mini WF 256G 藍 MXNC3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,19400
MXND3TA/A,0013028073,iPad mini WF 256G 星光 MXND3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,19400
MXNE3TA/A,0013028074,iPad mini WF 256G 紫 MXNE3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,19400
MXPN3TA/A,0013028075,iPad mini 5G 128G 太空灰 MXPN3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,20900
MXPP3TA/A,0013028076,iPad mini 5G 128G 藍 MXPP3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,20900
MXPQ3TA/A,0013028077,iPad mini 5G 128G 星光 MXPQ3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,20900
MXPR3TA/A,0013028078,iPad mini 5G 128G 紫 MXPR3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,20900
MXPT3TA/A,0013028079,iPad mini 5G 256G 太空灰 MXPT3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,24400
MXPW3TA/A,0013028080,iPad mini 5G 256G 藍 MXPW3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,24400
MXPX3TA/A,0013028081,iPad mini 5G 256G 星光 MXPX3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,24400
MXPY3TA/A,0013028082,iPad mini 5G 256G 紫 MXPY3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,24400
MYGY3TA/A,0013028083,iPad mini WF 512G 太空灰 MYGY3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,26400
MYH13TA/A,0013028084,iPad mini WF 512G 藍 MYH13,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,26400
MYH23TA/A,0013028085,iPad mini WF 512G 星光 MYH23,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,26400
